"Genotype","predicted.value","std.error","status"
"FBR2N51",0.827878108802635,0.290426059291352,"Estimable"
"FBR2N53",0.902956744886352,0.289628665048817,"Estimable"
"FBR2N55",0.871861380654369,0.308142967214947,"Estimable"
"FBR2N56",0.826479971238677,0.298224542682591,"Estimable"
"FBR2N57",0.871488878210927,0.300488623571813,"Estimable"
"FBR2N58",0.906675159576251,0.294736733962269,"Estimable"
"FBR2N59",0.861715239179973,0.295718969367121,"Estimable"
"FBR2N61",0.878211658700719,0.296809161441147,"Estimable"
"FBR2N62",0.86597414780217,0.304546389758505,"Estimable"
"FBR2N64",0.80772404459938,0.304262149682253,"Estimable"
"FBR2N66",0.900313853396284,0.302113272110295,"Estimable"
"FBR2N67",0.861283438771799,0.303778503064438,"Estimable"
"FBR2N68",0.859721376329512,0.295997953639322,"Estimable"
"FBR2N7",0.874961417769647,0.298024705707601,"Estimable"
"FBR2N71",0.846278392370216,0.301096052988371,"Estimable"
"FBR2N72",0.858682938181057,0.291797167946928,"Estimable"
"FBR2N73",0.869871261996113,0.2928402635474,"Estimable"
"FBR2N75",0.916559522337072,0.298969448794746,"Estimable"
"FBR2N78",0.888366273049098,0.304739039936958,"Estimable"
"FBR2N8",0.803068548847295,0.306049936640954,"Estimable"
"FBR2N80",0.877749690569089,0.302951118700704,"Estimable"
"FBR2N81",0.882933883318747,0.303240477657022,"Estimable"
"FBR2N83",0.844344887137208,0.306069450970689,"Estimable"
"FBR2N86",0.910339444671099,0.310886543714002,"Estimable"
"FBR2N87",0.871908726530258,0.297606603972782,"Estimable"
"FBR2N88",0.916289710796491,0.299847235328396,"Estimable"
"FBR2N89",0.895629189576658,0.303516184133791,"Estimable"
"FBR2N9",0.855070015461413,0.307483339960952,"Estimable"
"FBR2N90",0.841785236725208,0.30474600583377,"Estimable"
"FBR2N93",0.793952148559654,0.298861771679098,"Estimable"
"FBR2N94",0.893426073828778,0.301997601405742,"Estimable"
"FBR2N97",0.898556186885433,0.298837862647902,"Estimable"
"FBR3N1",0.835457882390517,0.294992756042169,"Estimable"
"FBR3N10",0.897085353684474,0.300438414156246,"Estimable"
"FBR3N102",0.879634332116596,0.301922712699394,"Estimable"
"FBR3N104",0.90616488068576,0.304945665075544,"Estimable"
"FBR3N11",0.883113993822264,0.298537307032898,"Estimable"
"FBR3N12",0.87536865800373,0.298582974135044,"Estimable"
"FBR3N13",0.809553090979783,0.302264643551232,"Estimable"
"FBR3N19",0.915740364799402,0.306361700700213,"Estimable"
"FBR3N20",0.856614578341839,0.298849727009069,"Estimable"
"FBR3N22",0.899528412470837,0.294827357159056,"Estimable"
"FBR3N23",0.916256714394347,0.294591346903198,"Estimable"
"FBR3N24",0.850176347980928,0.292679775180385,"Estimable"
"FBR3N25",0.851244433530794,0.303234445103165,"Estimable"
"FBR3N26",0.863149878515617,0.307043850952375,"Estimable"
"FBR3N28",0.90563276094434,0.30214026037786,"Estimable"
"FBR3N29",0.854959950137018,0.308513757133479,"Estimable"
"FBR3N31",0.82644573228572,0.304796867664151,"Estimable"
"FBR3N32",0.854036304112756,0.295460934641323,"Estimable"
"FBR3N33",0.858475884392751,0.29851023667315,"Estimable"
"FBR3N34",0.828546812106342,0.300349128588285,"Estimable"
"FBR3N35",0.918965691995875,0.303518613184861,"Estimable"
"FBR3N37",0.799988979952114,0.297404898101871,"Estimable"
"FBR3N38",0.884493515343946,0.302149283180169,"Estimable"
"FBR3N39",0.860596157009757,0.301811392994,"Estimable"
"FBR3N41",0.820022212222663,0.298317742411635,"Estimable"
"FBR3N44",0.889969395633814,0.293465336837582,"Estimable"
"FBR3N45",0.909599618982959,0.29876426413146,"Estimable"
"FBR3N47",0.918492301032315,0.293552619674283,"Estimable"
"FBR3N48",0.887714102621565,0.299920922050143,"Estimable"
"FBR3N5",0.795924781039683,0.309275719563049,"Estimable"
"FBR3N52",0.897180112669592,0.294759673114943,"Estimable"
"FBR3N55",0.875266284303753,0.29565691806784,"Estimable"
"FBR3N57",0.941201154158367,0.299085426232338,"Estimable"
"FBR3N59",0.885936532948114,0.30127840479666,"Estimable"
"FBR3N60",0.886849344647553,0.295141057150413,"Estimable"
"FBR3N61",0.83770197559982,0.303624524800389,"Estimable"
"FBR3N63",0.909081082047293,0.304660748775456,"Estimable"
"FBR3N66",0.906374732253998,0.297284668861597,"Estimable"
"FBR3N69",0.808225370843828,0.305276024988597,"Estimable"
"FBR3N72",0.85478469910159,0.302707552485017,"Estimable"
"FBR3N73",0.945465912493562,0.309460987799062,"Estimable"
"FBR3N75",0.794186185511159,0.305835615117829,"Estimable"
"FBR3N77",0.847267254916619,0.304107170213007,"Estimable"
"FBR3N78",0.883456585325065,0.291799740541637,"Estimable"
