taxa,PC1,PC2,PC3
LAR4N103,-33.4743051453753,54.529881591436,-14.4497052548282
LAR4N105,-32.1407354956492,59.4118109917204,-12.265135333781
LAR4N108,-31.8199453207524,59.7037581777138,-13.6862323293868
LAR4N109,-27.8231797506562,59.8123612147302,-5.94170071502781
LAR4N11,63.824956571311,-14.3865350824991,-3.31668246402858
LAR4N112,-32.8546930088739,60.1228642835264,-2.44162630549539
LAR4N114,-38.309678243992,59.1529920695173,20.1864162457725
LAR4N116,-34.8908232120656,57.7966510122047,8.5156206524012
LAR4N119,-27.9681922998435,52.9506606840662,9.22936112201238
LAR4N12,69.8396584762289,3.7786730847367,5.27502524615993
LAR4N120,-32.4326227916181,59.9768032167483,3.04975783966703
LAR4N121,-31.4528752709239,57.1090778976028,-5.24807299814415
LAR4N122,-36.3117195865165,56.1727109021256,10.2412912435195
LAR4N123,-26.5368777549363,52.54632315048,21.205771276588
LAR4N13,68.2701141083538,2.26595406105641,18.5409049827962
LAR4N14,59.3542953613807,-10.3846718883521,8.2479200169455
LAR4N16,63.6499237699639,-2.43131264305796,14.2139451402373
LAR4N17,61.5782480705475,-6.97364200720473,-0.0902695437938496
LAR4N18,67.6430398420828,-1.57997493173977,5.6420697559089
LAR4N20,73.6074067723585,-0.725193334467089,-20.4018612923478
LAR4N21,67.8224269636692,2.0634716069195,-13.5126343231833
LAR4N25,66.7676399628805,0.52092601761416,-11.9698351822122
LAR4N28,67.8826131615754,-3.70091156679487,-14.5069984820582
LAR4N30,65.0792422005837,-6.1306832404229,7.2573339346579
LAR4N31,68.1074265020182,-1.67430810752116,-3.6378765571127
LAR4N32,62.2041057913281,-9.62945955463378,-6.40658329847718
LAR4N34,62.2365802053441,-6.47576882913667,10.3413058256182
LAR4N37,64.6765782562168,-4.83329141225174,4.59219110888526
LAR4N38,62.2862942292009,1.51911617105597,9.85670279288724
LAR4N39,65.0512209922082,-1.77352383680141,-5.69378255878018
LAR4N40,64.7884643873369,-1.84144893727545,-5.73621479856927
LAR4N41,66.2846684213249,-5.84060319925005,-9.8689141448578
LAR4N43,63.228604582291,-4.03187245488401,3.39981237314996
LAR4N44,70.3915078742782,3.02874968988104,-14.6317565967257
LAR4N50,-33.8396340478791,57.7237894728007,3.64814088993143
LAR4N53,-35.2682194721379,54.9644282598356,0.259801996769047
LAR4N54,-32.1802861021214,59.8588642455173,2.81038815940099
LAR4N57,-32.0027070085414,59.432998714676,13.6537106002513
LAR4N59,-27.8274594505507,53.554221922409,9.62100506310178
LAR4N6,70.5123952953642,-0.0796383309236219,-12.8092164770883
LAR4N60,-37.4724431831117,52.3109979344603,20.9006181891177
LAR4N61,-38.8324051541054,56.3766425156837,-6.31931559274669
LAR4N63,-36.7906019124959,54.7556940138539,10.7996923647961
LAR4N65,-32.0864523992247,59.2418276791572,-6.60458786494631
LAR4N7,69.1115699457174,2.50558272036916,-9.75055609348026
LAR4N70,-33.2629799198448,58.4245710469644,0.96982879035069
LAR4N71,-33.7345498342089,53.65997539788,9.18209944464133
LAR4N74,-36.7823419339742,58.6420934340209,3.5508215856021
LAR4N76,-37.66576451325,56.1699625757428,-11.6621978996247
LAR4N77,-35.5226987950738,61.0420005790834,0.178591316438297
LAR4N79,-32.7299533200191,55.7730295610407,8.02548308885165
